title,authors,description,category,averageRating,ratingsCount,thumbnail
A History of Performing Pitch,Bruce Haynes,"Haynes (U. of Montreal) traces the history of musical pitch standards over the last four centuries, linking frequency values to pitch names and telling where, when, and why various pitch levels have been used. With a focus on Italy, France, Germany, the Netherlands and the Hapsburg lands, he covers the pitches of about 1,400 historical instruments and how the design and function influenced and were influenced by changes in pitch. In addition, he studies the effect of pitch differences on musical notation and choice of key. The author has also written a book on the oboe, the instrument that plays the ""A"" to which a symphony orchestra tunes. Annotation copyrighted by Book News, Inc., Portland, OR",History,,,http://books.google.com/books/content?id=uHcYAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The 100 Greatest Bands of All Time,David V. Moskowitz,"This one-of-a-kind reference investigates the music and the musicians that set the popular trends of the last half century in America. Many rock fans have, at one time or another, ranked their favorite artists in order of talent, charisma, and musical influence on the world as they see it. In this same spirit, author and music historian David V. Moskowitz expands on the concept of ""top ten"" lists to provide a lineup of the best 100 musical groups from the past 60 years. Since the chosen bands are based on the author's personal taste, this two-volume set provokes discussion of which performers are included and why, offering insights into the surprising influences behind them. From the Everly Brothers, to the Ramones, to Public Enemy, the work covers a wide variety of styles and genres, clearly illustrating the connections between them. Entries focus on the group's history, touring, membership, major releases, selected discography, bibliography, and influence. Contributions from leading scholars in popular music shed light on derivative artists and underscore the overall impact of the performers on the music industry.",Social Science,,,http://books.google.com/books/content?id=yajOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Violin Playing as I Teach it,Leopold Auer,"Auer (1845–1930) was the teacher of many of the leading violin virtuosos of the 20th century and this exemplary collection of principles and guidelines covers holding the instrument, practicing, tone production, bowing, fingering, phrasing, and much more. Many of the chapters are illuminated by biographies of Davidov, Wieniawski, Seidel, and other famous musicians.",Music,,,http://books.google.com/books/content?id=DZtyDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Awopbopaloobop Alopbamboom,Nik Cohn,"From the rise of Bill Haley to the death of Jimi Hendrix, this account of music in the 1950s and 1960s is “the definitive history of rock ‘n’ roll” (Rolling Stone). This is British music journalist Nik Cohn’s classic and cogent history of an unruly era—filled with outrageous tales and vivid descriptions of the music, and covering artists from Elvis Presley to Eddie Cochran to Bob Dylan to the Beatles and beyond. From the father of what would become a new literary form—rock criticism—this is a seminal history of rock and roll’s evolution, including revisions and updates made for a new edition in the early 1970s.",Music,1,1,http://books.google.com/books/content?id=GDqHDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Historical Dictionary of Baroque Music,Joseph P. Swain,"Named a Library Journal Best Reference of 2023 - ""Bravo! An invaluable source for scholars and concertgoers.” - Library Journal In the history of the Western musical tradition, the Baroque period traditionally dates from the turn of the 17th century to 1750. The beginning of the period is marked by Italian experiments in composition that attempted to create a new kind of secular musical art based upon principles of Greek drama, quickly leading to the invention of opera. The ending is marked by the death of Johann Sebastian Bach in 1750 and the completion of George Frideric Handel’s last English oratorio, Jephtha, the following year. The Historical Dictionary of Baroque Music, Second Edition contains a chronology, an introduction, and an extensive bibliography. The dictionary section has more than 500 cross-referenced entries on composers, instruments, cities, and technical terms. This book is an excellent resource for students, researchers, and anyone wanting to know more about baroque music.",Music,,,http://books.google.com/books/content?id=mmO8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Musical Instruments,Mary Remnant,,Music,,,http://books.google.com/books/content?id=V6MQAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Victory Through Harmony,Christina L. Baade,"This title tells the story of the BBC's participation in the events of World War II through popular music and jazz broadcasting. Baade argues that the BBC's popular music broadcasting efforts exposed the divergent ideologies, tastes and perspectives of the nation.",Business & Economics,,,http://books.google.com/books/content?id=5XgxJJ4OnwYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The New Oxford Companion to Music,Denis Arnold,Volume 1: A-J.,Music,,,http://books.google.com/books/content?id=ygKFAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Germany and the Germans,Price Collier,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Music,,,http://books.google.com/books/content?id=sAcKtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Dave Grohl Story,Jeff Apter,"Teenage punk, self-taught musician, bandleader, session man, smoker, drinker, multi-millionaire, David Grohl has achieved a rare feat, a rock ‘n’ roll double crown having been a member of two hugely successful and influential bands – Nirvana and The Foo Fighters. Loaded with candid interviews and hard truths about Grohl’s life in music, this is the first comprehensive biography of an icon whose career charts rock and roll’s rise and fall over the past two decades. Detailing his drumming and touring with Queens of the Stone Age and Nine Inch Nails and his battle over Nirvana’s legacy with Courtney Love, this is a no-holds-barred account of a career and life at the very top. Grohl's powerhouse drumming, anthemic riffing and melodic brilliance have proved both thrilling and enduring, and he remains one of rock's most respected figures.",Music,,,http://books.google.com/books/content?id=gbnpNc_TZt0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
